GENE	pbmc_1	pbmc_10	pbmc_12_merged_1.fastq	pbmc_2_merged_1.fastq	pbmc_4	pbmc_5_merged_1.fastq	pbmc_6_merged_1.fastq	pbmc_7_merged_1.fastq	pbmc_9_merged_1.fastq
UBE2Q2P2	0	19	0	0	3	46	0	0	0
SSX9	0	0	0	0	10	0	0	0	0
CXorf67	13	25	20	10	35	18	0	23	20
EFCAB8	0	0	7	1	51	74	0	14	11
SPATA31B1P	0	0	0	0	0	0	0	0	0
SDR16C6P	0	0	0	0	10	0	0	0	0
GTPBP6	3801	12592	3269	3911	4562	5787	2270	5198	3627
EFCAB12	31	31	12	6	78	53	14	7	14
A1BG	1119	3933	743	1642	824	620	632	1216	1122
A1CF	0	0	0	0	5	0	0	0	0
RBFOX1	0	0	0	0	4	0	1	0	1
GGACT	678	918	556	418	198	360	310	721	595
A2ML1	27	121	35	98	384	158	23	63	32
A2M	63	107	72	39	175	237	16	164	133
A4GALT	6	35	22	0	0	3	7	31	17
A4GNT	0	0	0	0	0	0	0	0	0
NPSR1-AS1	4	0	0	0	3	0	0	0	0
AAAS	2106	5194	1603	1284	1923	2434	1337	2148	1875
AACS	1322	3202	1119	790	698	1118	765	1345	1185
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	4	13	21	0	0	0
AADACL4	0	0	0	0	0	0	1	0	0
AADAC	0	0	0	0	0	0	0	0	0
AADAT	0	12	0	0	25	1	0	16	0
AAGAB	2827	6653	3146	1905	1874	2395	1950	3129	3042
AAK1	9942	17483	8839	12083	13303	13190	5036	13489	8258
AAMP	6282	19435	5768	5561	3636	5182	3791	8016	6710
AANAT	8	39	10	5	19	54	2	3	15
AARS2	1096	2379	859	888	1485	1616	373	1229	643
AARSD1	1295	3048	1224	1444	1410	1508	902	1780	1366
AARS	3892	8859	3376	2422	2432	2982	2698	4108	3247
AASDHPPT	2319	4157	1854	1057	707	1339	968	2135	1963
AASDH	973	2166	852	669	634	1036	455	842	718
AASS	234	420	225	199	819	659	79	315	238
AATF	8369	21285	8194	6370	4005	6170	5184	9954	8044
AATK	690	497	422	937	874	1809	461	848	539
ABAT	1215	1743	427	799	829	1371	530	905	677
ABCA10	40	58	10	7	106	92	19	54	15
ABCA11P	135	226	153	30	134	195	77	103	97
ABCA12	0	0	0	0	14	5	0	0	0
ABCA13	53	127	48	142	408	134	46	101	72
ABCA17P	5	0	0	0	17	18	0	12	4
ABCA1	605	1314	562	680	492	2085	538	634	621
ABCA2	5073	9161	7333	3768	17131	20290	3852	7286	5444
ABCA3	667	1048	867	505	970	957	440	1175	707
ABCA4	4	9	0	0	0	0	0	0	0
ABCA5	499	871	435	359	2913	2473	186	434	356
ABCA6	24	81	55	39	48	55	28	21	27
ABCA7	5296	15738	5236	4236	18384	14706	3198	4542	4535
ABCA8	39	122	73	164	458	189	38	181	118
ABCA9	29	93	55	72	378	181	24	121	66
ABCB10	2334	5903	2438	1330	1988	3126	1816	3109	2573
ABCB11	0	0	0	0	15	0	0	0	0
ABCB1	2097	1866	1711	986	1363	1617	810	1932	1520
ABCB4	268	552	129	74	162	224	95	170	162
ABCB5	127	325	114	423	1334	446	68	363	184
ABCB6	194	665	138	256	374	361	85	265	154
ABCB7	2344	6120	2064	1394	1335	1790	1504	2443	2231
ABCB8	1404	4066	1424	1222	1968	2628	983	1674	1388
ABCB9	271	478	204	401	1013	357	154	330	232
ABCC10	1758	4705	1684	1090	2689	3305	1007	2253	1656
ABCC11	2	0	0	0	27	3	0	0	0
ABCC12	0	0	0	0	4	0	0	0	0
ABCC13	23	75	27	67	132	67	3	38	99
ABCC1	8166	19274	8947	4624	5165	8590	5936	8807	9149
ABCC2	92	180	42	87	273	281	25	24	64
ABCC3	1148	7409	2088	1008	2033	2699	955	1805	1992
ABCC4	1084	1881	995	449	602	607	660	971	855
ABCC5	2399	4871	1892	1130	2478	3148	1134	1817	2239
ABCC6P2	0	0	0	39	0	0	0	0	0
ABCC6	204	468	199	113	225	469	183	332	186
ABCC8	0	0	0	0	11	0	1	0	0
ABCC9	873	1725	935	1833	5972	3227	556	2463	1494
